id,name,island,kind,positioned,status,image
place:lindbergh-bay,Lindbergh Bay,stt,place,true,placeholder,/images/places/fallbacks/attraction-stt.svg
place:magens-bay,Magens Bay,stt,place,true,placeholder,/images/places/fallbacks/attraction-stt.svg
place:main-street-charlotte-amalie,Main Street Charlotte Amalie,stt,place,false,placeholder,/images/places/fallbacks/shopping-stt.svg
historic:market-square-st-thomas,Market Square,stt,historic,true,placeholder,/images/places/fallbacks/historic-stt.svg
place:millennium-monument,Millennium Monument,stx,place,false,placeholder,/images/places/fallbacks/monument-stx.svg
place:stt-mim-s-seafood-bistro,Mim's Seafood Bistro,stt,place,false,placeholder,/images/directory/places/stt-mim-s-seafood-bistro.svg
place:mongoose-junction,Mongoose Junction,stj,place,true,placeholder,/images/places/fallbacks/shopping-stj.svg
place:mount-eagle,Mount Eagle,stx,place,true,placeholder,/images/places/fallbacks/viewpoint-stx.svg
place:mountaintop-st-thomas,Mountain Top,stt,place,true,placeholder,/images/places/fallbacks/attraction-stt.svg
historic:old-danish-custom-house,Old Danish Custom House,stx,historic,false,placeholder,/images/places/fallbacks/historic-stx.svg
place:paradise-point,Paradise Point,stt,place,true,placeholder,/images/places/fallbacks/viewpoint-stt.svg
historic:peace-hill,Peace Hill,stj,historic,true,placeholder,/images/places/fallbacks/historic-stj.svg
place:point-udall,Point Udall,stx,place,true,placeholder,/images/places/fallbacks/viewpoint-stx.svg
place:protestant-cay,Protestant Cay,stx,place,true,placeholder,/images/places/fallbacks/attraction-stx.svg
place:ram-head-trail,Ram Head Trail,stj,place,true,placeholder,/images/places/fallbacks/trail-stj.svg
place:red-hook,Red Hook,stt,place,true,placeholder,/images/places/fallbacks/neighborhood-stt.svg
historic:petroglyphs-trail,Reef Bay Petroglyphs,stj,historic,true,placeholder,/images/places/fallbacks/historic-stj.svg
place:reef-bay-trail,Reef Bay Trail,stj,place,true,placeholder,/images/places/fallbacks/trail-stj.svg
place:salt-pond-bay,Salt Pond Bay,stj,place,false,placeholder,/images/places/fallbacks/attraction-stj.svg
historic:salt-river-bay-national-historical-park,Salt River Bay National Historical Park,stx,historic,true,placeholder,/images/places/fallbacks/historic-stx.svg
place:sandy-point-national-wildlife-refuge,Sandy Point National Wildlife Refuge,stx,place,true,placeholder,/images/places/fallbacks/nature-stx.svg
place:skyride-to-paradise-point,Skyride to Paradise Point,stt,place,true,placeholder,/images/places/fallbacks/attraction-stt.svg
place:rainforest-st-croix,St. Croix Rainforest,stx,place,false,placeholder,/images/places/fallbacks/nature-stx.svg
place:st-george-village-botanical-garden,St. George Village Botanical Garden,stx,place,false,placeholder,/images/places/fallbacks/garden-stx.svg
historic:steeple-building,Steeple Building,stx,historic,true,placeholder,/images/places/fallbacks/historic-stx.svg
place:stt-sudi-s-caribbean-bar-grille,Sudi's Caribbean Bar Grille,stt,place,true,placeholder,/images/directory/places/stt-sudi-s-caribbean-bar-grille.svg
place:leap-st-croix,The Leap,stx,place,false,placeholder,/images/places/fallbacks/shopping-stx.svg
place:stt-virgilio-s-italian,Virgilio's Italian,stt,place,false,placeholder,/images/directory/places/stt-virgilio-s-italian.svg
place:virgin-islands-national-park-visitor-center,Virgin Islands National Park Visitor Center,stj,place,false,placeholder,/images/places/fallbacks/visitor-center-stj.svg
place:water-island-ferry-terminal,Water Island Ferry Terminal,stt,place,false,placeholder,/images/places/fallbacks/transport-stt.svg
place:yacht-haven-grande,Yacht Haven Grande,stt,place,false,placeholder,/images/places/fallbacks/marina-stt.svg
beach:abi-beach,Abi Beach,stt,beach,true,placeholder,/images/directory/beaches/abi-beach.svg
beach:banana-bay,Banana Bay,stj,beach,false,placeholder,/images/directory/beaches/banana-bay.svg
beach:brewers-bay,Brewers Bay,stt,beach,false,placeholder,/images/directory/beaches/brewers-bay.svg
beach:brown-bay,Brown Bay,stj,beach,true,placeholder,/images/directory/beaches/brown-bay.svg
beach:cane-bay,Cane Bay,stx,beach,true,placeholder,/images/directory/beaches/cane-bay.svg
beach:caneel-bay,Caneel Bay,stj,beach,true,placeholder,/images/directory/beaches/caneel-bay.svg
beach:caret-bay,Caret Bay,stt,beach,false,placeholder,/images/directory/beaches/caret-bay.svg
beach:chenay-bay,Chenay Bay,stx,beach,true,placeholder,/images/directory/beaches/chenay-bay.svg
beach:cinnamon-bay,Cinnamon Bay,stj,beach,true,placeholder,/images/directory/beaches/cinnamon-bay.svg
beach:coki-point,Coki Point,stt,beach,false,placeholder,/images/directory/beaches/coki-point.svg
beach:columbus-landing,Columbus Landing,stx,beach,false,placeholder,/images/directory/beaches/columbus-landing.svg
