id,name,island,kind,candidateScore,candidateTitle,previewUrl,sourceUrl,creator,license,licenseUrl,decision
place:east-end-st-john,East End St. John,stj,place,,,,,,,,
place:eliza-james-mchen-beach-park,Eliza James-McBean Clock Tower and Park,stx,place,,,,,,,,
place:emancipation-garden,Emancipation Garden,stt,place,,,,,,,,
place:estate-whim-museum,Estate Whim Museum,stx,place,,,,,,,,
historic:fort-christian,Fort Christian,stt,historic,,,,,,,,
historic:fort-christiansvaern,Fort Christiansvaern,stx,historic,,,,,,,,
historic:fort-frederik,Fort Frederik,stx,historic,,,,,,,,
historic:fortsberg,Fortsberg,stj,historic,,,,,,,,
place:frederiksted-pier,Frederiksted Pier,stx,place,,,,,,,,
place:frederiksted-waterfront,Frederiksted Waterfront,stx,place,,,,,,,,
place:frenchtown,Frenchtown,stt,place,,,,,,,,
place:frenchtown-market,Frenchtown Market,stt,place,,,,,,,,
place:gallows-bay,Gallows Bay,stx,place,,,,,,,,
historic:government-house-christiansted,Government House Christiansted,stx,historic,,,,,,,,
place:green-cay-marina,Green Cay Marina,stx,place,,,,,,,,
place:stt-greengos-caribbean-cantina,Greengos Caribbean Cantina,stt,place,,,,,,,,
place:havensight-mall,Havensight Mall,stt,place,,,,,,,,
place:hull-bay,Hull Bay,stt,place,,,,,,,,
place:jack-and-isaac-bay-preserve,Jack and Isaac Bay Preserve,stx,place,,,,,,,,
place:johns-folly-learning-institute,John's Folly Learning Institute,stj,place,,,,,,,,
place:lindbergh-bay,Lindbergh Bay,stt,place,,,,,,,,
place:magens-bay,Magens Bay,stt,place,,,,,,,,
place:main-street-charlotte-amalie,Main Street Charlotte Amalie,stt,place,,,,,,,,
historic:market-square-st-thomas,Market Square,stt,historic,,,,,,,,
place:millennium-monument,Millennium Monument,stx,place,,,,,,,,
place:stt-mim-s-seafood-bistro,Mim's Seafood Bistro,stt,place,,,,,,,,
place:mongoose-junction,Mongoose Junction,stj,place,,,,,,,,
place:mount-eagle,Mount Eagle,stx,place,,,,,,,,
place:mountaintop-st-thomas,Mountain Top,stt,place,,,,,,,,
historic:old-danish-custom-house,Old Danish Custom House,stx,historic,,,,,,,,
place:paradise-point,Paradise Point,stt,place,,,,,,,,
historic:peace-hill,Peace Hill,stj,historic,,,,,,,,
place:point-udall,Point Udall,stx,place,,,,,,,,
place:protestant-cay,Protestant Cay,stx,place,,,,,,,,
place:ram-head-trail,Ram Head Trail,stj,place,,,,,,,,
place:red-hook,Red Hook,stt,place,,,,,,,,
historic:petroglyphs-trail,Reef Bay Petroglyphs,stj,historic,,,,,,,,
place:reef-bay-trail,Reef Bay Trail,stj,place,,,,,,,,
place:salt-pond-bay,Salt Pond Bay,stj,place,,,,,,,,
historic:salt-river-bay-national-historical-park,Salt River Bay National Historical Park,stx,historic,,,,,,,,
place:sandy-point-national-wildlife-refuge,Sandy Point National Wildlife Refuge,stx,place,,,,,,,,
place:skyride-to-paradise-point,Skyride to Paradise Point,stt,place,,,,,,,,
place:rainforest-st-croix,St. Croix Rainforest,stx,place,,,,,,,,
place:st-george-village-botanical-garden,St. George Village Botanical Garden,stx,place,,,,,,,,
historic:steeple-building,Steeple Building,stx,historic,,,,,,,,
place:stt-sudi-s-caribbean-bar-grille,Sudi's Caribbean Bar Grille,stt,place,,,,,,,,
place:leap-st-croix,The Leap,stx,place,,,,,,,,
place:stt-virgilio-s-italian,Virgilio's Italian,stt,place,,,,,,,,
place:virgin-islands-national-park-visitor-center,Virgin Islands National Park Visitor Center,stj,place,,,,,,,,
place:water-island-ferry-terminal,Water Island Ferry Terminal,stt,place,,,,,,,,
place:yacht-haven-grande,Yacht Haven Grande,stt,place,,,,,,,,
beach:abi-beach,Abi Beach,stt,beach,,,,,,,,
beach:banana-bay,Banana Bay,stj,beach,,,,,,,,
beach:brewers-bay,Brewers Bay,stt,beach,,,,,,,,
beach:brown-bay,Brown Bay,stj,beach,,,,,,,,
beach:cane-bay,Cane Bay,stx,beach,,,,,,,,
beach:caneel-bay,Caneel Bay,stj,beach,,,,,,,,
beach:caret-bay,Caret Bay,stt,beach,,,,,,,,
beach:chenay-bay,Chenay Bay,stx,beach,,,,,,,,
beach:cinnamon-bay,Cinnamon Bay,stj,beach,,,,,,,,
beach:coki-point,Coki Point,stt,beach,,,,,,,,
beach:columbus-landing,Columbus Landing,stx,beach,,,,,,,,
beach:cowpet-bay,Cowpet Bay,stt,beach,,,,,,,,
beach:denis-bay,Denis Bay,stj,beach,,,,,,,,
beach:dorothea-beach,Dorothea Beach,stt,beach,,,,,,,,
beach:dorsch-beach,Dorsch Beach,stx,beach,,,,,,,,
