collection,documentId,sourceName,sourceIsland,status,score,nameScore,distanceKm,googlePlaceId,googleName,googleAddress,error
places,STT-sand-castle-on-the-beach-again,Sand Castle On the Beach (again),STT,review,0.702,0.9,71.37,ChIJy_lGAsnPGowRnQjWJTRDJwY,Sand Castle on the Beach,"Veterans Shore Dr, Frederiksted, St Croix 00840, USVI",
places,STT-sibs-mountain-bar-restaurant,Sibs Mountain Bar & Restaurant,STT,review,0.458,0.3333,1.134,ChIJixIGH7cbBYwRSCFcDyruG5Q,Sib's on the Mountain,"33-5 Estate Elizabeth, St Thomas 00802, USVI",
places,STT-smoky-rooster,Smoky Rooster,STT,review,0.61,0.5,0.492,ChIJkzROUogaBYwR8hNAi44C12s,The Smoking Rooster,"83MH+5QW, Charlotte Amalie East, St Thomas 00802, USVI",
places,STT-st-croix-timeshares-e-g-chenay-bay-beach-resort,"St. Croix timeshares (e.g., Chenay Bay Beach Resort)",STT,review,0.702,0.9,70.786,ChIJV2aMVRu1GowRgz47EWCDQdY,Chenay Bay Beach,"Q86R+4Q2, Christiansted, St Croix 00820, USVI",
places,STT-the-buccaneer-hotel,The Buccaneer Hotel,STT,review,0.702,0.9,70.312,ChIJ_ZrUTLq1GowRjSgO-SzRX2c,"The Buccaneer Resort St. Croix, U.S. Virgin Islands","5007, Christiansted, St Croix 00824, USVI",
places,STT-the-fred,The Fred,STT,review,0.78,1,70.526,ChIJpRQJTTXOGowRuwjtZxOVf1c,The Fred,"605 Strand St, Frederiksted, VI 00840, USVI",
places,STT-the-green-house,The Green House,STT,review,0.22,0,0.325,ChIJHeS9uPIaBYwR7NqOurs0fu0,The Greenhouse Restaurant & Bar,"Water front harbor Charlotte Amalie, Charlotte Amalie, St Thomas 00802, USVI",
places,STT-the-holger-danske-hotel,The Holger Danske Hotel,STT,review,0.78,1,70.356,ChIJPXgOEpK1GowR26OZ9a2s3pU,Holger Danske Hotel,"1200 King Cross St, Christiansted, St Croix 00820, USVI",
places,STT-the-meat-up,The Meat Up,STT,review,0.198,0,1.376,ChIJZ-0UzfcRBYwRCl34hiZILOM,The MeatUp,"4406 Weymouth Rhymer Hwy, Donoe, St Thomas 00802, USVI",
places,STT-the-waves-at-cane-bay,The Waves at Cane Bay,STT,review,0.78,1,64.174,ChIJDyT-X2nJGowRmW_KhIwY3qM,The Waves Cane Bay,"112C N Shr Rd, Kingshill, St Croix 00851, USVI",
places,STT-the-waves-cane-bay,The Waves Cane Bay,STT,review,0.78,1,64.174,ChIJDyT-X2nJGowRmW_KhIwY3qM,The Waves Cane Bay,"112C N Shr Rd, Kingshill, St Croix 00851, USVI",
places,STT-two-sandals-by-the-sea,Two Sandals by the Sea,STT,review,0.467,0.5,8.261,ChIJO-gmwAARBYwRcUfZWsml7rE,Two Sandals - A Boutique Hotel,"9M-1 Estate Nazareth St. Thomas Virgin Islands (US, Nazareth, St Thomas 00802, USVI",
places,STT-virgilio-s-italian,Virgilio’s (Italian),STT,review,0.74,0.6667,0.304,ChIJdzqYd5IaBYwRKFD3lzuTVFc,Virgilio's Cuisine,"5150 Dronningens Gade Ste 7, Charlotte Amalie, St Thomas 00802, USVI",
