index,name,type,island,confidence,score,candidateSource,candidateIndex,candidateName,lat,lng,reason
188,Bordeaux plantation,dictionaryEntry,st_thomas,exact,1,geographic_index,177,BORDEAUX,18.356590458506503,-65.01661868979055,contains_clean_slug
189,Borgenfri,estate,st_thomas,none,0.454,geographic_index,177,BORDEAUX,18.356590458506503,-65.01661868979055,weak_similarity
190,Borgenfrei,estate,st_thomas,none,0.41,geographic_index,91,Benner Bay,18.330419,-64.859625,weak_similarity
191,Bosehill,estate,st_thomas,none,0.6,geographic_index,659,Donoe Hill,18.3360307539689,-64.90137070522624,weak_similarity
197,Boufron Point,point,st_thomas,none,0.429,geographic_index,200,BOVONI,18.3156803213225,-64.8845745482555,weak_similarity
198,Boulder Point,point,st_thomas,none,0.429,geographic_index,91,Benner Bay,18.330419,-64.859625,weak_similarity
199,Bourgen Estate,estate,st_thomas,none,0.439,geographic_index,1404,Lerken Bay,18.35975098547915,-64.94000561367716,weak_similarity
208,Breid Bay,bay,st_croix,none,0.429,geographic_index,1378,Lareine,17.73398053250315,-64.7709332398327,weak_similarity
212,Broad Bay,bay,st_croix,none,0.6,geographic_index,215,Brook Estate,17.727694,-64.859333,weak_similarity
213,Brock Estate,estate,st_thomas,none,0.61,geographic_index,230,BUCK ISLAND,18.27684110476125,-64.8922408046305,weak_similarity
214,Brommer Hill,bay,st_thomas,none,0.667,geographic_index,93,Benner Hill,18.330419,-64.859625,weak_similarity
221,Brown Estate,estate,st_thomas,weak,0.8,geographic_index,591,Crown Bay,18.3516443841391,-64.97518249799175,weak_similarity
224,Bt,estate,st_thomas,none,0.01,geographic_index,3,ADELPHI,18.3503525854884,-64.98204334502465,
225,Stalley Point,point,st_thomas,none,0.5,geographic_index,2410,STAABI,18.34908224179825,-64.9388313298573,weak_similarity
228,Buck Bay,bay,st_thomas,exact,1,geographic_index,230,BUCK ISLAND,18.27684110476125,-64.8922408046305,exact_clean_slug
238,Ruhuun Point,point,st_john,none,0.375,geographic_index,83,BELLEVUE,18.33037923226835,-64.7691885039207,weak_similarity
241,Bull Point,point,st_thomas,none,0.75,geographic_index,1117,HULL,18.367754652070353,-64.95262479216476,weak_similarity
243,Bulow Hill,hill,st_thomas,none,0.677,geographic_index,1578,Maria Hill,18.359333337383298,-64.98905345449211,weak_similarity
246,Bulowminde,estate,st_thomas,none,0.41,geographic_index,156,BOLONGO,18.3175123332078,-64.89879745646965,weak_similarity
250,Buona Vista,estate,st_john,none,0.395,geographic_index,366,Carolina-Lyst,18.34652014852835,-64.72762843003869,weak_similarity
251,Buonavista,estate,st_john,none,0.318,geographic_index,366,Carolina-Lyst,18.34652014852835,-64.72762843003869,weak_similarity
252,Buonavista Hill,estate,st_john,none,0.533,geographic_index,512,Concordia Hill,18.30740743739495,-64.70375086625529,weak_similarity
255,Bush Hill,hill,st_croix,none,0.7,geographic_index,254,BURNS HILL,17.758095386224348,-64.8751651290253,weak_similarity
256,Buena Esperanza,estate,st_thomas,none,0.677,geographic_index,165,BONNE ESPERANCE,18.35446178282435,-64.9895367101718,weak_similarity
258,Butler Bay and William Estate,estate,st_thomas,none,0.51,geographic_index,93,Benner Hill,18.330419,-64.859625,weak_similarity
261,Butzberg Estate,estate,st_croix,weak,0.788,geographic_index,154,BOETZBERG,17.74585335311665,-64.67922114125466,weak_similarity
263,Cabes Point,bay,st_thomas,none,0.61,geographic_index,351,Caret Point,18.36457293689035,-64.97608543520525,weak_similarity
267,Cabrita Hill,point,st_thomas,none,0.75,geographic_index,1578,Maria Hill,18.359333337383298,-64.98905345449211,weak_similarity
268,Cabrita Point,point,st_thomas,none,0.571,geographic_index,350,CARET BAY,18.36457293689035,-64.97608543520525,weak_similarity
271,Cabrite,estate,st_thomas,none,0.581,geographic_index,350,CARET BAY,18.36457293689035,-64.97608543520525,weak_similarity
272,Cabrite Point,point,st_thomas,none,0.571,geographic_index,350,CARET BAY,18.36457293689035,-64.97608543520525,weak_similarity
273,Cabriteberg Point,point,st_thomas,none,0.692,geographic_index,403,CATHERINEBERG,18.3450964261188,-64.93264931271824,weak_similarity
275,Cabrithorn Point,point,st_john,none,0.5,geographic_index,326,Caneelborn,18.34305825172645,-64.7874874960091,weak_similarity
